commodity,trend_side_label,risk_state,horizon,n_state_obs,n_end_within_h,p_end_within_h,p_survive_beyond_h,hist_n_episodes,hist_n_ended,hist_overextended_rate,hist_duration_reliability,survival_sample_reliability
CF,UP,RISK,1,241,19,0.07883817427385892,0.9211618257261411,133,133,0.14285714285714285,HIGH,HIGH
CF,UP,RISK,2,241,29,0.12033195020746888,0.8796680497925311,133,133,0.14285714285714285,HIGH,HIGH
CF,UP,RISK,3,241,39,0.16182572614107885,0.8381742738589212,133,133,0.14285714285714285,HIGH,HIGH
CF,UP,RISK,5,241,58,0.24066390041493776,0.7593360995850622,133,133,0.14285714285714285,HIGH,HIGH
CF,UP,RISK,10,241,99,0.4107883817427386,0.5892116182572614,133,133,0.14285714285714285,HIGH,HIGH
CF,UP,RISK,20,241,158,0.6556016597510373,0.34439834024896265,133,133,0.14285714285714285,HIGH,HIGH
CF,DOWN,NO_RISK,1,536,129,0.24067164179104478,0.7593283582089552,114,113,0.14912280701754385,HIGH,HIGH
CF,DOWN,NO_RISK,2,535,151,0.2822429906542056,0.7177570093457943,114,113,0.14912280701754385,HIGH,HIGH
CF,DOWN,NO_RISK,3,534,172,0.32209737827715357,0.6779026217228464,114,113,0.14912280701754385,HIGH,HIGH
CF,DOWN,NO_RISK,5,532,207,0.3890977443609023,0.6109022556390977,114,113,0.14912280701754385,HIGH,HIGH
CF,DOWN,NO_RISK,10,528,286,0.5416666666666666,0.45833333333333337,114,113,0.14912280701754385,HIGH,HIGH
CF,DOWN,NO_RISK,20,528,385,0.7291666666666666,0.27083333333333337,114,113,0.14912280701754385,HIGH,HIGH
CF,UP,NO_RISK,1,771,158,0.20492866407263294,0.7950713359273671,133,133,0.14285714285714285,HIGH,HIGH
CF,UP,NO_RISK,2,771,197,0.25551232166018156,0.7444876783398184,133,133,0.14285714285714285,HIGH,HIGH
CF,UP,NO_RISK,3,771,233,0.3022049286640726,0.6977950713359273,133,133,0.14285714285714285,HIGH,HIGH
CF,UP,NO_RISK,5,771,287,0.3722438391699092,0.6277561608300908,133,133,0.14285714285714285,HIGH,HIGH
CF,UP,NO_RISK,10,771,383,0.496757457846952,0.503242542153048,133,133,0.14285714285714285,HIGH,HIGH
CF,UP,NO_RISK,20,771,489,0.6342412451361867,0.36575875486381326,133,133,0.14285714285714285,HIGH,HIGH
EB,DOWN,RISK,1,121,2,0.01652892561983471,0.9834710743801653,72,71,0.375,HIGH,HIGH
EB,DOWN,RISK,2,120,8,0.06666666666666667,0.9333333333333333,72,71,0.375,HIGH,HIGH
EB,DOWN,RISK,3,119,21,0.17647058823529413,0.8235294117647058,72,71,0.375,HIGH,HIGH
EB,DOWN,RISK,5,117,38,0.3247863247863248,0.6752136752136753,72,71,0.375,HIGH,HIGH
EB,DOWN,RISK,10,115,79,0.6869565217391305,0.31304347826086953,72,71,0.375,HIGH,HIGH
EB,DOWN,RISK,20,115,106,0.9217391304347826,0.07826086956521738,72,71,0.375,HIGH,HIGH
EB,DOWN,NO_RISK,1,326,69,0.2116564417177914,0.7883435582822086,72,71,0.375,HIGH,HIGH
EB,DOWN,NO_RISK,2,326,125,0.3834355828220859,0.6165644171779141,72,71,0.375,HIGH,HIGH
EB,DOWN,NO_RISK,3,326,163,0.5,0.5,72,71,0.375,HIGH,HIGH
EB,DOWN,NO_RISK,5,326,227,0.696319018404908,0.30368098159509205,72,71,0.375,HIGH,HIGH
EB,DOWN,NO_RISK,10,323,290,0.8978328173374613,0.10216718266253866,72,71,0.375,HIGH,HIGH
EB,DOWN,NO_RISK,20,323,321,0.9938080495356038,0.006191950464396245,72,71,0.375,HIGH,HIGH
EB,UP,NO_RISK,1,315,60,0.19047619047619047,0.8095238095238095,61,61,0.4426229508196721,HIGH,HIGH
EB,UP,NO_RISK,2,315,111,0.3523809523809524,0.6476190476190475,61,61,0.4426229508196721,HIGH,HIGH
EB,UP,NO_RISK,3,315,145,0.4603174603174603,0.5396825396825398,61,61,0.4426229508196721,HIGH,HIGH
EB,UP,NO_RISK,5,315,201,0.638095238095238,0.36190476190476195,61,61,0.4426229508196721,HIGH,HIGH
EB,UP,NO_RISK,10,315,264,0.8380952380952381,0.16190476190476188,61,61,0.4426229508196721,HIGH,HIGH
EB,UP,NO_RISK,20,315,309,0.9809523809523809,0.01904761904761909,61,61,0.4426229508196721,HIGH,HIGH
EB,UP,RISK,1,103,2,0.019417475728155338,0.9805825242718447,61,61,0.4426229508196721,HIGH,HIGH
EB,UP,RISK,2,103,3,0.02912621359223301,0.970873786407767,61,61,0.4426229508196721,HIGH,HIGH
EB,UP,RISK,3,103,15,0.14563106796116504,0.854368932038835,61,61,0.4426229508196721,HIGH,HIGH
EB,UP,RISK,5,103,38,0.36893203883495146,0.6310679611650485,61,61,0.4426229508196721,HIGH,HIGH
EB,UP,RISK,10,103,76,0.7378640776699029,0.2621359223300971,61,61,0.4426229508196721,HIGH,HIGH
EB,UP,RISK,20,103,94,0.912621359223301,0.08737864077669899,61,61,0.4426229508196721,HIGH,HIGH
FG,UP,RISK,1,192,1,0.005208333333333333,0.9947916666666666,103,103,0.4174757281553398,HIGH,HIGH
FG,UP,RISK,2,192,10,0.052083333333333336,0.9479166666666666,103,103,0.4174757281553398,HIGH,HIGH
