ma_window,version,return_col,n_obs,high_minus_low_activity_hml_mean_daily,high_minus_low_activity_hml_mean_ann,high_minus_low_activity_hml_vol_daily,high_minus_low_activity_hml_vol_ann,high_minus_low_activity_hml_sharpe,high_minus_low_activity_hml_t_stat,min_daily,max_daily,high_minus_low_activity_hml_max_drawdown,high_activity_hml_mean_ann,low_activity_hml_mean_ann,mid_activity_hml_mean_ann,activity_effect_flag
20,long_short,gross_map_vs_passive,1554,-9.881252502992633e-05,-0.024900756307541436,0.03066873431980761,0.4868510642119356,-0.051146558235110814,-0.12701109237254998,-0.20146450191062126,0.1856874630708366,-0.9283683366512978,0.015519484639041209,0.12123219685168635,-0.012073772938591864,WEAK_ATTENUATION
20,long_short,net_map_vs_passive,1554,-8.375920640517909e-05,-0.02110732001410513,0.030674676267503732,0.48694538970737933,-0.043346380231239434,-0.10764108658608157,-0.20146450191062126,0.1856874630708366,-0.9276810577848887,0.01682960671432097,0.11733189366826029,-0.010089370606230351,WEAK_ATTENUATION
20,long_short,net_map_vs_zero,1554,-0.00014209537044366377,-0.03580803335180327,0.02434937599344655,0.3865343607495953,-0.09263868102789556,-0.23004754335997687,-0.09222229056147896,0.14739038575140193,-0.8996283550675312,0.0635531999834864,0.11265690579911715,0.013071993223680895,WEAK_ATTENUATION
60,long_flat,gross_strategy_return,1554,-0.00014912169802092776,-0.037578667901273795,0.01783994467528907,0.28320034208379496,-0.13269287609177674,-0.3295132209092128,-0.11970147496621862,0.12484956425532907,-0.7363997181962774,0.03991609547828902,0.02671510725603956,-0.002677024045838771,WEAK_ATTENUATION
60,long_flat,net_strategy_return,1554,-0.00015570149210072183,-0.0392367760093819,0.01783953772766261,0.2831938819904975,-0.13855093102152002,-0.344060396349345,-0.11977290353764719,0.12484956425532907,-0.7398034181979414,0.04030877096150366,0.02890992787251253,-0.000989196057500577,WEAK_ATTENUATION
60,long_flat,passive_return,1554,-5.833616403848517e-05,-0.014700713337698264,0.022294761572843016,0.35391836796733117,-0.041537017200122345,-0.10314793625474741,-0.1256348357059581,0.12752259528158205,-0.7969560291969976,0.046723593269165455,-0.004674987869143221,0.02316136382991125,WEAK_ATTENUATION
60,long_flat,gross_map_vs_passive,1554,-9.078553398244255e-05,-0.022877954563575522,0.014202534074142674,0.22545823888261501,-0.10147313612028587,-0.2519859460701412,-0.10073225095531063,0.1056818559183999,-0.7273095487430912,-0.006807497790876447,0.03139009512518279,-0.025838387875750064,WEAK_ATTENUATION
60,long_flat,net_map_vs_passive,1554,-9.736532806223665e-05,-0.024536062671683637,0.014202257843432152,0.2254538538560279,-0.10882964408030066,-0.2702541960617393,-0.10085725095531063,0.1056818559183999,-0.7296358345114131,-0.0064148223076617925,0.03358491574165572,-0.02415055988741187,WEAK_ATTENUATION
60,long_flat,net_map_vs_zero,1554,-0.00015570149210072183,-0.0392367760093819,0.01783953772766261,0.2831938819904975,-0.13855093102152002,-0.344060396349345,-0.11977290353764719,0.12484956425532907,-0.7398034181979414,0.04030877096150366,0.02890992787251253,-0.000989196057500577,WEAK_ATTENUATION
60,long_short,gross_strategy_return,1554,-0.00023990723200337032,-0.06045662246484932,0.023300103147823187,0.36987767070776034,-0.16345031682817096,-0.4058924785037475,-0.11376811422647913,0.1221765332290761,-0.8808454530176074,0.033108597687412575,0.05810520238122233,-0.028515411921588844,WEAK_ATTENUATION
60,long_short,net_strategy_return,1554,-0.00025306682016295847,-0.06377283868106554,0.02329914322000141,0.3698624323260024,-0.17242313116260258,-0.4281744655933479,-0.11391097136933627,0.1221765332290761,-0.8838844286001374,0.03389394865384186,0.06249484361416825,-0.02513975594491246,WEAK_ATTENUATION
60,long_short,passive_return,1554,-5.833616403848517e-05,-0.014700713337698264,0.022294761572843016,0.35391836796733117,-0.041537017200122345,-0.10314793625474741,-0.1256348357059581,0.12752259528158205,-0.7969560291969976,0.046723593269165455,-0.004674987869143221,0.02316136382991125,WEAK_ATTENUATION
60,long_short,gross_map_vs_passive,1554,-0.0001815710679648851,-0.045755909127151044,0.028405068148285348,0.45091647776523003,-0.10147313612028587,-0.2519859460701412,-0.20146450191062126,0.2113637118367998,-0.9378241206142508,-0.013614995581752894,0.06278019025036558,-0.05167677575150013,WEAK_ATTENUATION
60,long_short,net_map_vs_passive,1554,-0.0001947306561244733,-0.04907212534336727,0.028404515686864303,0.4509077077120558,-0.10882964408030066,-0.2702541960617393,-0.20171450191062126,0.2113637118367998,-0.9388815330201064,-0.012829644615323585,0.06716983148331145,-0.04830111977482374,WEAK_ATTENUATION
60,long_short,net_map_vs_zero,1554,-0.00025306682016295847,-0.06377283868106554,0.02329914322000141,0.3698624323260024,-0.17242313116260258,-0.4281744655933479,-0.11391097136933627,0.1221765332290761,-0.8838844286001374,0.03389394865384186,0.06249484361416825,-0.02513975594491246,WEAK_ATTENUATION
120,long_flat,gross_strategy_return,1553,-0.0004749696882652991,-0.11969236144285537,0.017746153438139425,0.2817114523518647,-0.4248757387873483,-1.0547447934119765,-0.12326687185118766,0.12484956425532907,-0.8188031222448257,-0.060398331521079936,0.00268476466978138,-0.024964854252870244,WEAK_ATTENUATION
120,long_flat,net_strategy_return,1553,-0.00047765535042456074,-0.1203691483069893,0.017746970968634545,0.28172443024614047,-0.4272584674386375,-1.0606598655369084,-0.12308830042261623,0.12484956425532907,-0.8197496512597922,-0.06055530353125808,0.003353268208709585,-0.024991616528028244,WEAK_ATTENUATION
120,long_flat,passive_return,1553,-7.279267842872322e-05,-0.018343754964038252,0.02229279769260154,0.3538871923349893,-0.05183503489630128,-0.12867934829426864,-0.1256348357059581,0.12752259528158205,-0.7969560291969975,0.04328489229102378,-0.005264220968646938,0.0237697675673774,WEAK_ATTENUATION
120,long_flat,gross_map_vs_passive,1553,-0.0004021770098365758,-0.1013486064788171,0.01454432330538597,0.23088397472263325,-0.43895903386352275,-1.0897062675551592,-0.08675165452884004,0.10343382294724968,-0.767648556847666,-0.10368322381210372,0.00794898563842829,-0.04873462182024767,WEAK_ATTENUATION
120,long_flat,net_map_vs_passive,1553,-0.0004048626719958374,-0.10202539334295103,0.01454652750782889,0.23091896535165252,-0.44182336079491236,-1.096816896950322,-0.08675165452884004,0.10355882294724968,-0.7694777418602425,-0.10384019582228184,0.008617489177356509,-0.04876138409540565,WEAK_ATTENUATION
120,long_flat,net_map_vs_zero,1553,-0.00047765535042456074,-0.1203691483069893,0.017746970968634545,0.28172443024614047,-0.4272584674386375,-1.0606598655369084,-0.12308830042261623,0.12484956425532907,-0.8197496512597922,-0.06055530353125808,0.003353268208709585,-0.024991616528028244,WEAK_ATTENUATION
120,long_short,gross_strategy_return,1553,-0.000877146698101875,-0.2210409679216725,0.023578756870537163,0.3743011614209815,-0.590543099258687,-1.4660104175546296,-0.12089890799641721,0.1221765332290761,-0.9247922172511948,-0.1640815553331837,0.01063375030820969,-0.07369947607311789,WEAK_ATTENUATION
120,long_short,net_strategy_return,1553,-0.000882437533044996,-0.22237425832733898,0.023582713287398784,0.37436396759157403,-0.5940055068813307,-1.4746057692757621,-0.12054176513927435,0.1221765332290761,-0.9257314065691518,-0.1643794688191888,0.011958017244508987,-0.0737734187080231,WEAK_ATTENUATION
120,long_short,passive_return,1553,-7.279267842872322e-05,-0.018343754964038252,0.02229279769260154,0.3538871923349893,-0.05183503489630128,-0.12867934829426864,-0.1256348357059581,0.12752259528158205,-0.7969560291969975,0.04328489229102378,-0.005264220968646938,0.0237697675673774,WEAK_ATTENUATION
120,long_short,gross_map_vs_passive,1553,-0.0008043540196731516,-0.2026972129576342,0.02908864661077194,0.4617679494452665,-0.43895903386352275,-1.0897062675551592,-0.17350330905768008,0.20686764589449935,-0.9558955771609874,-0.20736644762420745,0.01589797127685658,-0.09746924364049533,WEAK_ATTENUATION
120,long_short,net_map_vs_passive,1553,-0.0008096448546162725,-0.20403050336330067,0.02909306097808204,0.4618380253538558,-0.4417793515529053,-1.0967076449629025,-0.17350330905768008,0.20711764589449935,-0.9565907066593076,-0.20766436111021258,0.01722223821315589,-0.09754318627540051,WEAK_ATTENUATION
120,long_short,net_map_vs_zero,1553,-0.000882437533044996,-0.22237425832733898,0.023582713287398784,0.37436396759157403,-0.5940055068813307,-1.4746057692757621,-0.12054176513927435,0.1221765332290761,-0.9257314065691518,-0.1643794688191888,0.011958017244508987,-0.0737734187080231,WEAK_ATTENUATION
