ma_window,version,activity_bucket,return_col,n_obs,mean_daily,mean_ann,vol_daily,vol_ann,sharpe,t_stat,min_daily,max_daily,max_drawdown
10,long_short,Low,net_strategy_return,1979,0.00011757284604311961,0.02962835720286614,0.016325325808320437,0.2591565129655224,0.11432611460861812,0.32038197250334766,-0.11445135854247973,0.08071004159069958,-0.48885430089775184
10,long_short,Low,passive_return,1979,-1.855153916326675e-05,-0.004674987869143221,0.01605947894351754,0.25493632481895434,-0.01833786484708765,-0.051389145265038697,-0.09455454391431833,0.11445135854247973,-0.704282939523057
10,long_short,Low,gross_map_vs_passive,1979,0.0001374472033685171,0.03463669524886631,0.023622241109536188,0.37499145231503545,0.09236662605249879,0.25884376416958993,-0.22890271708495946,0.17501458550501792,-0.8068213862189787
10,long_short,Low,net_map_vs_passive,1979,0.00013612438520638613,0.03430334507200931,0.023620525209208983,0.3749642132417933,0.09148431733107558,0.25637122489460284,-0.22890271708495946,0.17526458550501792,-0.8066900198983575
10,long_short,Low,net_map_vs_zero,1979,0.00011757284604311961,0.02962835720286614,0.016325325808320437,0.2591565129655224,0.11432611460861812,0.32038197250334766,-0.11445135854247973,0.08071004159069958,-0.48885430089775184
10,long_short,Mid,gross_strategy_return,2058,-0.00034592650512850763,-0.08717347929238392,0.017950445947463728,0.28495449539817735,-0.30592070207761846,-0.8742412254848474,-0.1204464867919457,0.10723202902857495,-0.7820122747316216
10,long_short,Mid,net_strategy_return,2058,-0.0003446353764321312,-0.08684811486089707,0.01795270386439911,0.28499033871832974,-0.3047405580535606,-0.8708686830225879,-0.1194464867919457,0.10723202902857495,-0.7793324061558315
10,long_short,Mid,passive_return,2058,9.191017392821926e-05,0.02316136382991125,0.017675666879898747,0.28059251292859844,0.08254448270259106,0.235890507653897,-0.10723202902857495,0.1204464867919457,-0.6593551736593728
10,long_short,Mid,gross_map_vs_passive,2058,-0.0004378366790567273,-0.11033484312229527,0.024635083805973693,0.3910698316670458,-0.2821359107450498,-0.8062705226809214,-0.2408929735838914,0.2144640580571499,-0.8166206031456887
10,long_short,Mid,net_map_vs_passive,2058,-0.0004365455503603506,-0.11000947869080835,0.024637532583640147,0.391108704807375,-0.28127596583407455,-0.8038130254023301,-0.2398929735838914,0.2144640580571499,-0.8181504223756486
10,long_short,Mid,net_map_vs_zero,2058,-0.0003446353764321312,-0.08684811486089707,0.01795270386439911,0.28499033871832974,-0.3047405580535606,-0.8708686830225879,-0.1194464867919457,0.10723202902857495,-0.7793324061558315
10,long_short,High,gross_strategy_return,1966,0.00014692691934454472,0.037025583674825266,0.018432038509681475,0.29259954031549673,0.12654012933479755,0.35344330564453713,-0.08698656123136006,0.12087907592175601,-0.595651676238744
10,long_short,High,net_strategy_return,1966,0.00016597534576835265,0.04182578713362487,0.01844215446430084,0.29276012611667784,0.14286708947841978,0.3990466632088442,-0.08698656123136006,0.12087907592175601,-0.5896598259866551
10,long_short,High,passive_return,1966,0.00018541108440145023,0.046723593269165455,0.018296231309593118,0.290443667849382,0.16086972601308466,0.4493304064022324,-0.12274951368246811,0.10662132280892636,-0.6838583936573853
10,long_short,High,gross_map_vs_passive,1966,-3.848416505690555e-05,-0.009698009594340197,0.02327521239099265,0.3694825421926537,-0.026247544841465097,-0.07331286179798091,-0.17397312246272012,0.2040013963338141,-0.6840759848159403
10,long_short,High,net_map_vs_passive,1966,-1.943573863309763e-05,-0.004897806135540603,0.023290471637352355,0.36972477521902597,-0.01324716779566403,-0.037001090489954196,-0.17397312246272012,0.2045013963338141,-0.679574314103035
