ma_window,version,return_col,low_activity_hml_mean_ann,mid_activity_hml_mean_ann,high_activity_hml_mean_ann,high_minus_low_activity_hml_mean_ann,high_minus_low_activity_hml_t_stat,high_minus_low_activity_hml_sharpe,attenuation_n_obs,activity_effect_flag,interaction_coef,interaction_std_err_hc1,interaction_t_stat_hc1,regression_n_obs,regression_r2,regression_activity_effect_flag,combined_activity_effect_flag
20,long_short,net_map_vs_zero,0.11265690579911715,0.013071993223680895,0.0635531999834864,-0.03580803335180327,-0.23004754335997687,-0.09263868102789556,1554,WEAK_ATTENUATION,-6.020615589327504e-05,0.00022501022235187575,-0.26757075862590535,36697,3.641441913670995e-05,WEAK_ATTENUATION,WEAK_ATTENUATION
20,long_short,net_strategy_return,0.11265690579911715,0.013071993223680895,0.0635531999834864,-0.03580803335180327,-0.23004754335997687,-0.09263868102789556,1554,WEAK_ATTENUATION,-6.020615589327504e-05,0.00022501022235187575,-0.26757075862590535,36697,3.641441913670995e-05,WEAK_ATTENUATION,WEAK_ATTENUATION
60,long_flat,net_map_vs_passive,0.03358491574165572,-0.02415055988741187,-0.0064148223076617925,-0.024536062671683637,-0.2702541960617393,-0.10882964408030066,1554,WEAK_ATTENUATION,-6.882429084312431e-05,0.00014632564521107515,-0.47035016140776337,36697,2.3650078257997365e-05,WEAK_ATTENUATION,WEAK_ATTENUATION
60,long_flat,net_map_vs_zero,0.02890992787251253,-0.000989196057500577,0.04030877096150366,-0.0392367760093819,-0.344060396349345,-0.13855093102152002,1554,WEAK_ATTENUATION,-5.858548934096909e-05,0.00017095455721581306,-0.34269627142498904,36697,0.0002358251652052612,WEAK_ATTENUATION,WEAK_ATTENUATION
60,long_flat,net_strategy_return,0.02890992787251253,-0.000989196057500577,0.04030877096150366,-0.0392367760093819,-0.344060396349345,-0.13855093102152002,1554,WEAK_ATTENUATION,-5.858548934096909e-05,0.00017095455721581306,-0.34269627142498904,36697,0.0002358251652052612,WEAK_ATTENUATION,WEAK_ATTENUATION
60,long_short,net_map_vs_passive,0.06716983148331145,-0.04830111977482374,-0.012829644615323585,-0.04907212534336727,-0.2702541960617393,-0.10882964408030066,1554,WEAK_ATTENUATION,-0.00013764858168624863,0.0002926512904221503,-0.47035016140776337,36697,2.3650078257997365e-05,WEAK_ATTENUATION,WEAK_ATTENUATION
60,long_short,net_map_vs_zero,0.06249484361416825,-0.02513975594491246,0.03389394865384186,-0.06377283868106554,-0.4281744655933479,-0.17242313116260258,1554,WEAK_ATTENUATION,-0.00012740978018409323,0.0002250297810187607,-0.56619074865238,36697,0.00020023792533108153,WEAK_ATTENUATION,WEAK_ATTENUATION
60,long_short,net_strategy_return,0.06249484361416825,-0.02513975594491246,0.03389394865384186,-0.06377283868106554,-0.4281744655933479,-0.17242313116260258,1554,WEAK_ATTENUATION,-0.00012740978018409323,0.0002250297810187607,-0.56619074865238,36697,0.00020023792533108153,WEAK_ATTENUATION,WEAK_ATTENUATION
120,long_flat,net_map_vs_passive,0.008617489177356509,-0.04876138409540565,-0.10384019582228184,-0.10202539334295103,-1.096816896950322,-0.44182336079491236,1553,WEAK_ATTENUATION,-0.00010474997514624271,0.0001483421505705713,-0.7061376334598146,36681,0.00013586953309296934,WEAK_ATTENUATION,WEAK_ATTENUATION
120,long_flat,net_map_vs_zero,0.003353268208709585,-0.024991616528028244,-0.06055530353125808,-0.1203691483069893,-1.0606598655369084,-0.4272584674386375,1553,WEAK_ATTENUATION,-9.496972473741332e-05,0.00016916451252279715,-0.5614045364545055,36681,0.0002552172653634832,WEAK_ATTENUATION,WEAK_ATTENUATION
120,long_flat,net_strategy_return,0.003353268208709585,-0.024991616528028244,-0.06055530353125808,-0.1203691483069893,-1.0606598655369084,-0.4272584674386375,1553,WEAK_ATTENUATION,-9.496972473741332e-05,0.00016916451252279715,-0.5614045364545055,36681,0.0002552172653634832,WEAK_ATTENUATION,WEAK_ATTENUATION
120,long_short,net_map_vs_passive,0.01722223821315589,-0.09754318627540051,-0.20766436111021258,-0.20403050336330067,-1.0967076449629025,-0.4417793515529053,1553,WEAK_ATTENUATION,-0.00020964021793530368,0.0002966840885979553,-0.7066109238483391,36681,0.0001359212500254836,WEAK_ATTENUATION,WEAK_ATTENUATION
120,long_short,net_map_vs_zero,0.011958017244508987,-0.0737734187080231,-0.1643794688191888,-0.22237425832733898,-1.4746057692757621,-0.5940055068813307,1553,WEAK_ATTENUATION,-0.0001998599675264743,0.0002249514191609925,-0.8884583536831976,36681,0.0003171655498519499,WEAK_ATTENUATION,WEAK_ATTENUATION
120,long_short,net_strategy_return,0.011958017244508987,-0.0737734187080231,-0.1643794688191888,-0.22237425832733898,-1.4746057692757621,-0.5940055068813307,1553,WEAK_ATTENUATION,-0.0001998599675264743,0.0002249514191609925,-0.8884583536831976,36681,0.0003171655498519499,WEAK_ATTENUATION,WEAK_ATTENUATION
